synthetic_profile_benchmark files_observed=5473804389 phases=100 elapsed_s=1970.039 files_per_second=2778526.176 logical_size_bytes=7548229507007918 small_files=3970514982 large_files=1503289407
phase index=0 name=phase_0 files=100000000 small=39079178 large=60920822 small_ratio=0.391 logical_size_bytes=582771109021382 avg_filename_len=21.485 avg_depth=5.003 size_buckets=<=0:44263/0,<=4096:54013/67638074,<=16384:215445/2539246387,<=65536:36703367/1263054005831,<=131072:2062090/193215997610,<=1048576:58880713/15708824937288,<=16777216:1595091/6295771412689,<=134217728:328499/11771521709486,<=1073741824:60019/26633854077288,<=inf:56500/520902259996729
phase index=1 name=phase_1 files=100000000 small=57643679 large=42356321 small_ratio=0.576 logical_size_bytes=42204421246184 avg_filename_len=20.586 avg_depth=5.002 size_buckets=<=0:50314/0,<=4096:4748/6433105,<=16384:126856/1615566414,<=65536:54146426/1815802785530,<=131072:3315335/365289798584,<=1048576:41252372/9875964321564,<=16777216:981664/2560239605386,<=134217728:91904/4580507742192,<=1073741824:23254/8550824078197,<=inf:7127/14454170915212
phase index=2 name=phase_2 files=100000000 small=78054690 large=21945310 small_ratio=0.781 logical_size_bytes=111193740265270 avg_filename_len=19.380 avg_depth=5.014 size_buckets=<=0:36900/0,<=4096:13805/20319384,<=16384:170544/2033181088,<=65536:76201825/2614971659931,<=131072:1631616/175104669574,<=1048576:21031164/5526566434456,<=16777216:511381/2062196106157,<=134217728:286974/17772340388161,<=1073741824:106758/29772437255165,<=inf:9033/53268070251354
phase index=3 name=phase_3 files=100000000 small=87156718 large=12843282 small_ratio=0.872 logical_size_bytes=616149936468504 avg_filename_len=18.921 avg_depth=5.035 size_buckets=<=0:38760/0,<=4096:24763/39344673,<=16384:163954/1933861734,<=65536:86548806/2926846441712,<=131072:380435/41534391904,<=1048576:10666099/3699165795836,<=16777216:1085666/4198913342440,<=134217728:379264/20940465040802,<=1073741824:515140/225280702086873,<=inf:197113/359060336162530
phase index=4 name=phase_4 files=100000000 small=92677640 large=7322360 small_ratio=0.927 logical_size_bytes=162810040084879 avg_filename_len=22.358 avg_depth=5.032 size_buckets=<=0:31911/0,<=4096:93773/148768971,<=16384:54446/725234674,<=65536:49769703/2361663090223,<=131072:42727807/3399759246534,<=1048576:6744594/2492769345157,<=16777216:207662/664952150338,<=134217728:154558/13886966390282,<=1073741824:174534/72109854644980,<=inf:41012/67893201213720
phase index=5 name=phase_5 files=100000000 small=47614959 large=52385041 small_ratio=0.476 logical_size_bytes=73402621806443 avg_filename_len=23.240 avg_depth=5.006 size_buckets=<=0:26740/0,<=4096:21805/4595045,<=16384:5775/63973213,<=65536:19767363/1124494740771,<=131072:27793276/2236972294743,<=1048576:51735832/13474173765173,<=16777216:210661/1306503849029,<=134217728:308262/26750048788202,<=1073741824:130135/28177954240704,<=inf:151/332405559563
phase index=6 name=phase_6 files=100000000 small=32688632 large=67311368 small_ratio=0.327 logical_size_bytes=40428637726511 avg_filename_len=23.172 avg_depth=5.009 size_buckets=<=0:22488/0,<=4096:37750/8017706,<=16384:13184/144196957,<=65536:10500232/583989624178,<=131072:22114978/1950674807075,<=1048576:67087819/17480330428854,<=16777216:109807/406491400980,<=134217728:62080/3433745238439,<=1073741824:51083/15603846091263,<=inf:579/969407921059
phase index=7 name=phase_7 files=100000000 small=89088825 large=10911175 small_ratio=0.891 logical_size_bytes=58435585812493 avg_filename_len=23.115 avg_depth=5.010 size_buckets=<=0:16876/0,<=4096:18575/4087490,<=16384:14903/123245608,<=65536:17895773/1020031948481,<=131072:71142698/6714688518442,<=1048576:10431546/2731434319832,<=16777216:87996/328733299065,<=134217728:303904/28156073858224,<=1073741824:87370/18737397597109,<=inf:359/747098938242
phase index=8 name=phase_8 files=100000000 small=96029418 large=3970582 small_ratio=0.960 logical_size_bytes=36735235574499 avg_filename_len=23.133 avg_depth=5.018 size_buckets=<=0:20358/0,<=4096:36242/9055290,<=16384:8078/64369626,<=65536:26042624/1443918379152,<=131072:69922116/6390146219750,<=1048576:3576326/929527532954,<=16777216:191966/811024630880,<=134217728:134620/8159771941662,<=1073741824:67384/18038033316567,<=inf:286/962740128618
phase index=9 name=phase_9 files=100000000 small=91794006 large=8205994 small_ratio=0.918 logical_size_bytes=111788467350059 avg_filename_len=22.451 avg_depth=5.111 size_buckets=<=0:21705/0,<=4096:850233/285047107,<=16384:181135/2247902999,<=65536:39877606/1753589982218,<=131072:50863327/4602259518069,<=1048576:5606562/1572995946998,<=16777216:1516929/8103230959718,<=134217728:875725/32512508621447,<=1073741824:204705/58402583323553,<=inf:2073/4838766047950
phase index=10 name=phase_10 files=100000000 small=99108885 large=891115 small_ratio=0.991 logical_size_bytes=9648198838404 avg_filename_len=18.306 avg_depth=5.009 size_buckets=<=0:10335/0,<=4096:100466/30477078,<=16384:485401/6920651414,<=65536:97835478/3354585622295,<=131072:677205/61890835808,<=1048576:758981/146256841006,<=16777216:79723/317020796311,<=134217728:41895/1305093266673,<=1073741824:10129/3815121057811,<=inf:387/641279290008
phase index=11 name=phase_11 files=100000000 small=94045019 large=5954981 small_ratio=0.940 logical_size_bytes=163807176431156 avg_filename_len=20.958 avg_depth=5.092 size_buckets=<=0:16669/0,<=4096:410923/48546673,<=16384:495127/6981930635,<=65536:68097076/2579164668865,<=131072:25025224/2144618874957,<=1048576:2696007/624127983752,<=16777216:2254963/7972544649925,<=134217728:699706/54283499253683,<=1073741824:303091/94073454359624,<=inf:1214/2122736163042
phase index=12 name=phase_12 files=100000000 small=99071711 large=928289 small_ratio=0.991 logical_size_bytes=23375741165394 avg_filename_len=23.361 avg_depth=5.013 size_buckets=<=0:27504/0,<=4096:119871/6181094,<=16384:9460/115570551,<=65536:40108952/2261038704386,<=131072:58805924/4777423669434,<=1048576:731866/133074723238,<=16777216:115454/351369375343,<=134217728:42655/1415443223199,<=1073741824:38254/14342727681590,<=inf:60/94542036559
